Key,Source,Context,Changes,English,French,German,Klingon,Spanish
TitaniumOre,items,Item,KgNone,Titanium Ore,,,,
TitaniumOreDesc,items,Item,KgNone,An advanced metal ore found in the ground,,,,
copperOre,items,Item,KgNone,Copper Ore,,,,
copperOreDesc,items,Item,KgNone,An advanced metal ore found in the ground,,,,
TitaniumFragment,items,Item,KgNone,Titanium Fragment,,,,
TitaniumFragmentDesc,items,Item,KgNone,An advanced metal that can be used in the forge to make Titanium Items,,,,
ForgedTitanium,items,Item,KgNone,Forged Titanium,,,,
ForgedTitaniumDesc,items,Item,KgNone,A advanced metal used to make tools and upgrading\n [ Crafted in Forge. ],,,,
ForgedCarbonSteel,items,Item,KgNone,Forged Carbon Steel,,,,
ForgedCarbonSteelDesc,items,Item,KgNone,A advanced metal used to make tools and upgrading\n [ Crafted in Forge. ],,,,
CopperFragment,items,Item,KgNone,Copper Fragment,,,,
CopperFragmentDesc,items,Item,KgNone,Raw copper fragments,,,,
ForgedCopper,items,Item,KgNone,Forged Copper,,,,
ForgedCopperDesc,items,Item,KgNone,A advanced metal used to make tools and upgrading\n [ Crafted in Forge. ],,,,
titanium,items,Item,KgNone,Titanium,,,,
titaniumDesc,items,Item,KgNone,Titanium,,,,
forgeInputTitanium,UI,Menu,KgNone,Titnm,,,,
forgeInputCopper,UI,Menu,KgNone,Copper,,,,
ForgedSilver,items,Item,KgNone,Forged Silver,,,,
ForgedSilverDesc,items,Item,KgNone,A block of forged Silver,,,,
9mmBulletSilver,items,Item,KgNone,9mm Silver(Ammo),,,,
9mmBulletSilverDesc,items,Item,KgNone,9mm Silver-tipped Bullets,,,,
9mmBulletFMJ,items,Item,KgNone,9mm FMJ(Ammo),,,,
9mmBulletFMJDesc,items,Item,KgNone,9mm Full Metal Jacket Bullets,,,,
762mmBulletSilver,items,Item,KgNone,762mm Silver(Ammo),,,,
762mmBulletSilverDesc,items,Item,KgNone,762mm Silver-tipped Bullets,,,,
762mmBulletFMJ,items,Item,KgNone,762mm FMJ(Ammo),,,,
762mmBulletFMJDesc,items,Item,KgNone,762mm Full Metal Jacket Bullets,,,,
44MagBulletSilver,items,Item,KgNone,44mag Silver(Ammo),,,,
44MagBulletSilverDesc,items,Item,KgNone,44mag Silver-tipped Bullets,,,,
44MagBulletFMJ,items,Item,KgNone,44mag FMJ(Ammo),,,,
44MagBulletFMJDesc,items,Item,KgNone,44mag Full Metal Jacket Bullets,,,,
shotgunSlugSilver,items,Item,KgNone,Shotgun Slug Silver(Ammo),,,,
shotgunSlugSilverDesc,items,Item,KgNone,Shotgun Slug Silver-tipped Bullets,,,,
shotgunSlugFMJ,items,Item,KgNone,Shotgun Slug FMJ(Ammo),,,,
shotgunSlugFMJDesc,items,Item,KgNone,Shotgun Slug Full Metal Jacket Bullets,,,,
